name,Address,City,State,Postcode,phone,Mn,Tu,We,Th,Fr,Sa,Su
Arverne,312 Beach 54 Street,Arverne,NY,11692,(718) 634-4784,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Astoria,14-01 Astoria Boulevard,Long Island City,NY,11102,(718) 278-2220,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Auburndale,25-55 Francis Lewis Boulevard,Flushing,NY,11358,(718) 352-2027,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Baisley Park,117-11 Sutphin Boulevard,Jamaica,NY,11436,(718) 529-1590,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Bay Terrace,18-36 Bell Boulevard,Bayside,NY,11360,(718) 423-7004,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Bayside,214-20 Northern Boulevard,Bayside,NY,11361,(718) 229-1834,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Bellerose,250-06 Hillside Avenue,Bellerose,NY,11426,(718) 831-8644,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Briarwood,85-12 Main Street,Briarwood,NY,11435,(718) 658-1680,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Broad Channel,16-26 Cross Bay Boulevard,Broad Channel,NY,11693,(718) 318-4943,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Broadway,40-20 Broadway,Long Island City,NY,11103,(718) 721-2462,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Cambria Heights,218-13 Linden Boulevard,Cambria Heights,NY,11411,(718) 528-3535,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Central Library,89-11 Merrick Boulevard,Jamaica,NY,11432,(718) 990-0700,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM
Central Library- The Archives,89-11 Merrick Boulevard,Jamaica,NY,11432,(718) 990-0700,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM
Corona,38-23 104 Street,Corona,NY,11368,(718) 426-2844,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Court Square,25-01 Jackson Avenue,Long Island City,NY,11101,(718) 937-2790,11:00 AM - 7:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 7:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Cyber Center,89-11 Merrick Boulevard,Jamaica,NY,11432,(718) 990-0700,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM
Douglaston/Little Neck,249-01 Northern Boulevard,Little Neck,NY,11363,(718) 225-8414,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
East Elmhurst,95-06 Astoria Boulevard,East Elmhurst,NY,11369,(718) 424-2619,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
East Flushing,196-36 Northern Boulevard,Flushing,NY,11358,(718) 357-6643,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Elmhurst,86-01 Broadway,Elmhurst,NY,11373,(718) 271-1020,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Far Rockaway,1637 Central Avenue,Far Rockaway,NY,11691,(718) 327-2549,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Flushing,41-17 Main Street,Flushing,NY,11355,(718) 661-1200,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM
Forest Hills,108-19 71 Avenue,Forest Hills,NY,11375,(718) 268-7934,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Fresh Meadows,193-20 Horace Harding Expressway,Fresh Meadows,NY,11365,(718) 454-7272,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Glen Oaks,256-04 Union Turnpike, Glen Oaks,NY,11004,(718) 831-8636,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Glendale,78-60 73 Place,Glendale,NY,11385,(718) 821-4980,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed
Hillcrest,187-05 Union Turnpike,Flushing,NY,11366,(718) 454-2786,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Hollis,202-05 Hillside Avenue,Hollis,NY,11423,(718) 465-7355,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Howard Beach,92-06 156 Avenue, Howard Beach,NY,11414,(718) 641-7086,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Jackson Heights,35-51 81 Street,Jackson Heights,NY,11372,(718) 899-2500,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Job Information Center,89-11 Merrick Boulevard,Jamaica,NY,11432,(718) 990-0700,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM
Kew Gardens Hills,72-33 Vleigh Place,Flushing,NY,11367,(718) 261-6654,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,Closed - Closed,12:00 PM - 5:00 PM
Langston Hughes,100-01 Northern Boulevard,Corona,NY,11368,(718) 651-1100,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Laurelton,134-26 225 Street,Laurelton,NY,11413,(718) 528-2822,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Lefferts,103-34 Lefferts Boulevard,Richmond Hill,NY,11419,(718) 843-5950,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Lefrak City,98-30 57 Avenue,Corona,NY,11368,(718) 592-7677,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Long Island City,37-44 21 Street,Long Island City,NY,11101,(718) 752-3700,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Maspeth,69-70 Grand Avenue,Maspeth,NY,11378,(718) 639-5228,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
McGoldrick,155-06 Roosevelt Av. (off Northern Blvd),Flushing,NY,11354,(718) 461-1616,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Middle Village,72-31 Metropolitan Avenue,Middle Village,NY,11379,(718) 326-1390,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Mitchell-Linden,29-42 Union Street,Flushing,NY,11354,(718) 539-2330,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
North Forest Park,98-27 Metropolitan Avenue,Forest Hills,NY,11375,(718) 261-5512,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
North Hills,57-04 Marathon Parkway,Little Neck,NY,11362,(718) 225-3550,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Ozone Park,92-24 Rockaway Boulevard,Ozone Park,NY,11417,(718) 845-3127,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Peninsula,92-25 Rockaway Beach Boulevard,Rockaway Beach,NY,11693,(718) 634-1110,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Pomonok,158-21 Jewel Avenue,Flushing,NY,11365,(718) 591-4343,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Poppenhusen,121-23 14 Avenue,College Point,NY,11356,(718) 359-1102,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Queens Library for Teens,2002 Cornaga Ave,Far Rockaway,NY,11691,(718) 471-2573,2:30 PM - 6:00 PM,2:30 PM - 6:00 PM,2:30 PM - 6:00 PM,2:30 PM - 6:00 PM,2:30 PM - 6:00 PM,Closed - Closed,Closed - Closed
Queens Village,94-11 217 Street,Queens Village,NY,11428,(718) 776-6800,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Queensboro Hill,60-05 Main Street,Flushing,NY,11355,(718) 359-8332,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Queensbridge,Now a Family Literacy Center,"10-43 41 Ave., LIC",NY,11101,By apptmt only,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed
Ravenswood,Now a Family Literacy Center,"35-32 21 St., LIC",NY,11106,By apptmt only,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed
Rego Park,91-41 63 Drive,Rego Park,NY,11374,(718) 459-5140,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Richmond Hill,118-14 Hillside Avenue,Richmond Hill,NY,11418,(718) 849-7150,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Ridgewood,20-12 Madison Street,Ridgewood,NY,11385,(718) 821-4770,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Rochdale Village,169-09 137 Avenue,Jamaica,NY,11434,(718) 723-4440,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Rosedale,144-20 243 Street,Rosedale,NY,11422,(718) 528-8490,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Seaside,116-15 Rockaway Beach Boulevard,Rockaway Park,NY,11694,(718) 634-1876,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
South Hollis,204-01 Hollis Avenue,South Hollis,NY,11412,(718) 465-6779,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
South Jamaica,108-41 Guy R. Brewer Boulevard,Jamaica,NY,11433,(718) 739-4088,10:00 AM - 5:00 PM,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed
South Ozone Park,128-16 Rockaway Boulevard,South Ozone Park,NY,11420,(718) 529-1660,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
St. Albans,191-05 Linden Boulevard,St. Albans,NY,11412,(718) 528-8196,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Steinway,21-45 31 Street,Long Island City,NY,11105,(718) 728-1965,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Sunnyside,43-06 Greenpoint Avenue,Long Island City,NY,11104,(718) 784-3033,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Whitestone,151-10 14 Road,Whitestone,NY,11357,(718) 767-8010,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Windsor Park,79-50 Bell Boulevard,Bayside,NY,11364,(718) 468-8300,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Woodhaven,85-41 Forest Parkway,Woodhaven,NY,11421,(718) 849-1010,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
Woodside,54-22 Skillman Avenue, Woodside,NY,11377,(718) 429-4700,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed
